respondent_id,xyz_vaccine,seasonal_vaccine
26911,0.09,0.32
26912,0.51,0.85
26913,0.64,0.92
26914,0,0.08
26915,0.06,0.67
26916,0,0.28
26917,0.1,0.22
26918,0.99,0.98
26919,0.12,0.46
26920,0,0.08
26921,0.08,0.83
26922,0.04,0.61
26923,0.43,0.61
26924,0.99,0.98
26925,0.34,0.7
26926,0.64,0.56
26927,0.54,0.62
26928,0.1,0.41
26929,0.15,0.24
26930,0.57,0.88
26931,0.06,0.38
26932,0.12,0.9
26933,0.02,0.29
26934,0.28,0.64
26935,0.04,0.37
26936,0.46,0.25
26937,0.26,0.92
26938,0.01,0
26939,0.03,0.06
26940,0.06,0.26
26941,0.12,0.37
26942,0.57,0.91
26943,0.02,0.67
26944,0,0.06
26945,0,0.4
26946,0.05,0.83
26947,0.19,0.48
26948,0.02,0.01
26949,0.02,0.04
26950,0.01,0.25
26951,0,0.21
26952,0.76,0.75
26953,0.43,0.96
26954,0,0.04
26955,0.01,0.71
26956,0.29,0.26
26957,0,0.96
26958,0.18,0.81
26959,0.05,0.27
26960,0,0.06
26961,0.33,0.33
26962,0.16,0.68
26963,0.18,0.46
26964,0.01,0.25
26965,0.27,0.93
26966,0,0.01
26967,0.01,0.37
26968,0.03,0.97
26969,0.14,0.17
26970,0.93,0.66
26971,0.01,0.05
26972,0.07,0.15
26973,0.05,0.08
26974,0.22,0.11
26975,0.15,0.57
26976,0.91,0.47
26977,0.21,0.54
26978,0.02,0.7
26979,0.69,0.93
26980,0.02,0.13
26981,0.02,0.43
26982,0.61,0.78
26983,0.26,0.5
26984,0,0.05
26985,0.01,0.15
26986,0.02,0.36
26987,0.07,0.09
26988,0,0.01
26989,0.31,0.83
26990,0,0.07
26991,0.09,0.47
26992,0.45,0.6
26993,0,0.97
26994,0.1,0.26
26995,0.16,0.27
26996,0.35,0.38
26997,0,0.01
26998,0.08,0.03
26999,0.24,0.53
27000,0.03,0.3
27001,0.04,0.86
27002,0,0.41
27003,0.01,0.06
27004,0.21,0.2
27005,0.22,0.65
27006,0.81,0.69
27007,0.09,0.07
27008,0.2,0.18
27009,0.01,0.19
27010,0,0.02
27011,0.12,0.13
27012,0.38,0.44
27013,0.22,0.64
27014,0.04,0.32
27015,0.27,0.19
27016,0.02,0.14
27017,0.66,0.85
27018,0,0.07
27019,0.99,1
27020,0.21,0.33
27021,0.27,0.58
27022,0.01,0.24
27023,0.02,0.25
27024,0.02,0.46
27025,0.25,0.16
27026,0.02,0.55
27027,0,0.73
27028,0.69,0.97
27029,0.22,0.39
27030,0.47,0.22
27031,0.55,0.8
27032,0.07,0.68
27033,0.43,0.75
27034,0.03,0.53
27035,0.25,0.29
27036,0.33,0.65
27037,0.38,0.72
27038,0,0
27039,0.51,0.81
27040,0.01,0.21
27041,0.02,0.45
27042,0.01,0.63
27043,0.22,0.85
27044,0.02,0.11
27045,0.01,0.58
27046,0.04,0.06
27047,0.5,0.39
27048,0.1,0.58
27049,0.5,0.76
27050,0.05,0.8
27051,0.13,0.31
27052,0.02,0.15
27053,0.97,0.97
27054,0.01,0.01
27055,0.04,0.92
27056,0.22,0.31
27057,0.08,0.03
27058,0.85,0.81
27059,0.07,0.01
27060,0,0.1
27061,0.14,0.48
27062,0.05,0.36
27063,0,0.49
27064,0.19,0.62
27065,0.16,0.66
27066,0.03,0.43
27067,0.57,0.86
27068,0.56,0.86
27069,0.84,0.92
27070,0.06,0.02
27071,0.04,0.04
27072,0.2,0.56
27073,0.18,0.93
27074,0.07,0.36
27075,0.32,0.72
27076,0.75,0.8
27077,0.14,0.09
27078,0.03,0.9
27079,0.09,0.78
27080,0.01,0.18
27081,0.08,0.89
27082,0.21,0.23
27083,0.07,0.24
27084,0.73,0.59
27085,0,0.02
27086,0.02,0.04
27087,0,0.12
27088,0.43,0.81
27089,0.17,0.09
27090,0.47,0.79
27091,0.59,0.49
27092,0.17,0.3
27093,0.13,0.12
27094,0.01,0.06
27095,0.02,0.66
27096,0.07,0.22
27097,0.33,0.72
27098,0.74,0.84
27099,0.34,0.5
27100,0.03,0.62
27101,0.09,0.64
27102,0.04,0.85
27103,0.03,0.05
27104,0.72,0.44
27105,0.17,0.51
27106,0.47,0.91
27107,0.67,0.84
27108,0.24,0.1
27109,0.22,0.06
27110,0.01,0.4
27111,0.04,0.49
27112,0.48,0.79
27113,0.02,0.01
27114,0.01,0.1
27115,0.49,0.81
27116,0.09,0.83
27117,0.02,0.15
27118,0.01,0.71
27119,0.13,0.32
27120,0.26,0.96
27121,0,0.87
27122,0,0.49
27123,0.05,0.17
27124,0.02,0.11
27125,0.05,0.12
27126,0.38,0.24
27127,0.15,0.07
27128,0.33,0.4
27129,0.15,0.42
27130,0.02,0.1
27131,0.1,0.08
27132,0.09,0.9
27133,0.03,0.64
27134,0.93,0.96
27135,0.05,0.46
27136,0.01,0.52
27137,0.22,0.19
27138,0.03,0.35
27139,0.01,0.16
27140,0.95,0.93
27141,0.72,0.6
27142,0,0.07
27143,0.35,0.24
27144,0.06,0.09
27145,0.8,0.72
27146,0.13,0.75
27147,0.05,0.42
27148,0.1,0.2
27149,0.12,0.02
27150,0.5,0.9
27151,0.13,0.94
27152,0,0.06
27153,0.17,0.9
27154,0.48,0.94
27155,0.25,0.84
27156,0,0.15
27157,0,0.76
27158,0,0.32
27159,0.08,0
27160,0.24,0.19
27161,0.39,0.67
27162,0.05,0.91
27163,0.66,0.66
27164,0.09,0.45
27165,0.54,0.68
27166,0.38,0.17
27167,0.26,0.58
27168,0.12,0.62
27169,0.72,0.74
27170,0.55,0.92
27171,0.01,0.17
27172,0.06,0.82
27173,0.33,0.63
27174,0.31,0.18
27175,0.25,0.14
27176,0.94,0.95
27177,0.88,0.95
27178,0.05,0.24
27179,0.08,0.32
27180,0.11,0.37
27181,0.03,0.96
27182,0.55,0.83
27183,0,0.78
27184,0.07,0.45
27185,0.49,0.81
27186,0.27,0.93
27187,0.12,0.25
27188,0.13,0.38
27189,0.04,0.74
27190,0.34,0.84
27191,0.25,0.94
27192,0.22,0.74
27193,0.05,0.22
27194,0.35,0.4
27195,0.02,0.05
27196,0.28,0.17
27197,0.07,0.7
27198,0.51,0.97
27199,0.14,0.24
27200,0.06,0.74
27201,0.58,0.94
27202,0.22,0.25
27203,0.02,0.06
27204,0,0
27205,0.11,0.27
27206,0.28,0.17
27207,0.18,0.15
27208,0.82,0.54
27209,0.09,0.28
27210,0.18,0.36
27211,0.05,0.19
27212,0.27,0.92
27213,0.45,0.51
27214,0.01,0.02
27215,0.08,0.47
27216,0.16,0.98
27217,0.22,0.23
27218,0.6,0.85
27219,0.71,0.45
27220,0.46,0.7
27221,0,0.86
27222,0.05,0.63
27223,0.01,0.77
27224,0.01,0.78
27225,0.31,0.22
27226,0.03,0.42
27227,0.15,0.16
27228,0.7,0.94
27229,0.43,0.74
27230,0.05,0.71
27231,0.45,0.86
27232,0.11,0.51
27233,0.63,0.26
27234,0.01,0.1
27235,0.88,0.85
27236,0.06,0.99
27237,0.81,0.84
27238,0.65,0.78
27239,0.3,0.21
27240,0.14,0.39
27241,0.02,0.08
27242,0.27,0.63
27243,0.04,0.03
27244,0,0.04
27245,0.05,0.24
27246,0.92,0.92
27247,0.33,0.98
27248,0.12,0.8
27249,0,0.51
27250,0.02,0.08
27251,0.02,0.54
27252,0.17,0.39
27253,0.04,0.92
27254,1,1
27255,0.08,0.27
27256,0.86,0.96
27257,0.22,0.7
27258,0.31,0.82
27259,0.26,0.71
27260,0.1,0.35
27261,0.05,0.78
27262,0.06,0.39
27263,0.1,0.11
27264,0.09,0.11
27265,0.04,0.44
27266,0.29,0.32
27267,0.21,0.67
27268,0.05,0.19
27269,0.69,0.4
27270,0.02,0.23
27271,0.02,0.18
27272,0.13,0.54
27273,0.24,0.14
27274,0.22,0.62
27275,0.19,0.34
27276,0.02,0.23
27277,0.07,0.92
27278,0.05,0.34
27279,0.09,0.36
27280,0.81,0.22
27281,0.05,0.46
27282,0.08,0.95
27283,0.01,0.15
27284,0.37,0.59
27285,0.01,0.19
27286,0.25,0.61
27287,0.15,0.59
27288,0.71,0.6
27289,0.15,0.24
27290,0.01,0.08
27291,0.4,0.74
27292,0.01,0.47
27293,0.12,0.94
27294,0.03,0.07
27295,0.52,0.97
27296,0.02,0.92
27297,0.05,0.64
27298,0.15,0.22
27299,0.36,0.86
27300,0.1,0.79
27301,0.01,0
27302,0.18,0.96
27303,0.21,0.13
27304,0.04,0.82
27305,0.02,0.03
27306,0.18,0.61
27307,0.93,0.88
27308,0.16,0.22
27309,0.9,0.99
27310,0.03,0.16
27311,0.01,0.19
27312,0.01,0.5
27313,0,0.13
27314,0.03,0
27315,0.01,0.13
27316,0.48,0.88
27317,0.12,0.18
27318,0.05,0.33
27319,0.32,0.74
27320,0.19,0.71
27321,0.09,0.72
27322,0.41,0.8
27323,0.06,0.38
27324,0.06,0.65
27325,0.91,0.98
27326,0.03,0.51
27327,0.27,0.62
27328,0.36,0.32
27329,0.1,0.2
27330,0.01,0.78
27331,0.03,0.27
27332,0.04,0.77
27333,0.8,0.71
27334,0.02,0.04
27335,0.36,0.3
27336,0.14,0.07
27337,0.18,0.8
27338,0.18,0.43
27339,0.43,0.14
27340,0,0.07
27341,0.12,0.82
27342,0.07,0.56
27343,0.01,0.07
27344,0.4,0.61
27345,0.02,0.16
27346,0.25,0.74
27347,0.62,0.97
27348,0.03,0.16
27349,0.08,0.12
27350,0.09,0.9
27351,0.67,0.82
27352,0.07,0.29
27353,0.03,0.21
27354,0.2,0.63
27355,0.31,0.33
27356,0.33,0.79
27357,0.01,0.4
27358,0.17,0.52
27359,0.37,0.76
27360,0.41,0.65
27361,0,0.93
27362,0.54,0.33
27363,0.02,0.02
27364,0.05,0.47
27365,0.5,0.76
27366,0.35,0.61
27367,0.38,0.41
27368,0.03,0.56
27369,0,0.01
27370,0.07,0.83
27371,0.29,0.27
27372,0.01,0.06
27373,0.93,0.72
27374,0.02,0.28
27375,0.09,0.83
27376,0.35,0.44
27377,0.22,0.59
27378,0.12,0.13
27379,0.05,0.19
27380,0.07,0.77
27381,0,0.49
27382,0.28,0.37
27383,0.01,0.62
27384,0.08,0.57
27385,0.03,0.99
27386,0.09,0.86
27387,0.64,0.92
27388,0.2,0.24
27389,0.03,0.12
27390,0,0.03
27391,0.3,0.83
27392,0.91,0.95
27393,0,0.09
27394,0.02,0.51
27395,0.85,0.67
27396,0.1,0.22
27397,0.81,0.93
27398,0.31,0.72
27399,0.13,0.51
27400,0.2,0.77
27401,0.27,0.47
27402,0.23,0.73
27403,0.02,0.12
27404,0.36,0.14
27405,0.67,0.72
27406,0.05,0.3
27407,0.08,0.09
27408,0.04,0.7
27409,0.83,1
27410,0.02,0.13
27411,0.07,0.39
27412,0.15,0.49
27413,0.14,0.32
27414,0.74,0.75
27415,0.13,0.51
27416,0.11,0.05
27417,0.47,0.5
27418,0.25,0.23
27419,0.84,0.85
27420,0.06,0.16
27421,0.34,0.24
27422,0.12,0.6
27423,0.03,0.34
27424,0.07,0.6
27425,0.25,0.48
27426,0,0.32
27427,0.06,0.42
27428,0.09,0.12
27429,0.49,0.51
27430,0,0.72
27431,0.06,0.86
27432,0.4,0.63
27433,0.04,0.91
27434,0.12,0.25
27435,0.14,0.45
27436,0.03,0.09
27437,0.09,0.25
27438,0.16,0.11
27439,0.16,0.26
27440,0.17,0.39
27441,0.87,0.89
27442,0.4,0.76
27443,0.01,0.08
27444,0.06,0.06
27445,0.04,0.14
27446,0.19,0.34
27447,0,0.34
27448,0.21,0.68
27449,0.1,0.82
27450,0.17,0.7
27451,0,0.17
27452,0.03,0.11
27453,0.15,0.88
27454,0.17,0.43
27455,0.13,0.38
27456,0.21,0.39
27457,0.01,0.19
27458,0.04,0.4
27459,0.06,0.27
27460,0.86,0.91
27461,0.11,0.16
27462,0.25,0.44
27463,0.03,0.45
27464,0.64,0.44
27465,0.95,0.93
27466,0.06,0.36
27467,0.04,0.22
27468,0.09,0.64
27469,0.09,0.37
27470,0.63,0.85
27471,0.15,0.88
27472,0.49,0.57
27473,0.52,0.41
27474,0.12,0.32
27475,0.01,0.02
27476,0.19,0.52
27477,0.01,0.1
27478,0.19,0.94
27479,0,0.45
27480,0.35,0.72
27481,0.79,0.97
27482,0.32,0.37
27483,0.84,0.44
27484,0.2,0.63
27485,0.01,0.63
27486,0.34,0.48
27487,0.28,0.93
27488,0.72,0.83
27489,0.9,0.78
27490,0.04,0.4
27491,0.45,0.34
27492,0.02,0.35
27493,0.21,0.96
27494,0.17,0.68
27495,0.2,0.13
27496,0,0.02
27497,0.15,0.02
27498,0.12,0.55
27499,0.03,0.97
27500,0.08,0.87
27501,0.1,0.27
27502,0.08,0.65
27503,0.17,0.68
27504,0.01,0.09
27505,0.05,0.05
27506,0.19,0.85
27507,0.04,0.16
27508,0.26,0.27
27509,0.05,0.52
27510,0.46,0.43
27511,0.33,0.73
27512,0.07,0.24
27513,0.05,0.66
27514,0.17,0.58
27515,0.72,0.44
27516,0.48,0.88
27517,0.03,0
27518,0.86,0.8
27519,0.03,0.2
27520,0.01,0.05
27521,0.11,0.55
27522,0.26,0.15
27523,0,0.19
27524,0.23,0.45
27525,0.11,0.28
27526,0.29,0.63
27527,0,0.86
27528,0.35,0.97
27529,0.17,0.85
27530,0.01,0.01
27531,0.11,0.23
27532,0.05,0.82
27533,0.43,0.44
27534,0.14,0.17
27535,0,0.82
27536,0.48,0.58
27537,0.59,0.72
27538,0.33,0.46
27539,0.24,0.93
27540,0.57,0.22
27541,0.97,0.99
27542,0,0.1
27543,0.8,0.68
27544,0.09,0.25
27545,0.25,0.16
27546,0.55,0.56
27547,0.07,0.24
27548,0.09,1
27549,0.06,0.94
27550,0.09,0.42
27551,0.07,0.43
27552,0.02,0.91
27553,0.1,0.61
27554,0.26,0.37
27555,0.05,0.04
27556,0.12,0.69
27557,0.14,0.98
27558,0.09,0.2
27559,0.36,0.88
27560,0.31,0.84
27561,0.5,0.73
27562,0.3,0.82
27563,0.17,0.75
27564,0.29,0.26
27565,0.06,0.23
27566,0.29,0.35
27567,0.02,0.71
27568,0.33,0.9
27569,0.03,0.5
27570,0.24,0.78
27571,0.02,0.08
27572,0,0.01
27573,0.09,0.22
27574,0.12,0.56
27575,0.02,0.39
27576,0.03,0.1
27577,0.08,0.54
27578,0.25,0.47
27579,0.09,0.41
27580,0.02,0.76
27581,0.03,0.03
27582,0.05,0.03
27583,0.04,0.07
27584,0.75,0.67
27585,0.08,0.45
27586,0.51,0.66
27587,0.02,0.69
27588,0.21,0.23
27589,0.04,0.46
27590,0.2,0.55
27591,0.08,0.76
27592,0.04,0.01
27593,0.09,0.13
27594,0.05,0.5
27595,0.05,0.21
27596,0.06,0.15
27597,0.25,0.16
27598,0.22,0.25
27599,0.5,0.82
27600,0.04,0.48
27601,0.11,0.73
27602,0.88,0.66
27603,0.06,0.1
27604,0,0.17
27605,0.57,0.66
27606,0.34,0.26
27607,0.27,0.66
27608,0.27,0.63
27609,0.04,0.58
27610,0.43,0.89
27611,0.46,0.04
27612,0,0.57
27613,0.92,0.95
27614,0.02,0.2
27615,0.29,0.95
27616,0.03,0.01
27617,0.32,0.56
27618,0.3,0.54
27619,0.18,0.22
27620,0.22,0.53
27621,0.19,0.49
27622,0.92,0.97
27623,0.02,0.66
27624,0.46,0.86
27625,0,0.27
27626,0.02,0.11
27627,0.74,0.66
27628,0.05,0.79
27629,0.03,0.06
27630,0.43,0.83
27631,0.08,0.18
27632,0.04,0.31
27633,0.81,0.61
27634,0.19,0.47
27635,0.02,0.2
27636,0.53,0.78
27637,0.07,0.11
27638,0.19,0.28
27639,0,0.18
27640,0.66,0.44
27641,0.36,0.39
27642,0.44,0.73
27643,0.1,0.06
27644,0.04,0.56
27645,0.2,0.28
27646,0.09,0.4
27647,0.13,0.1
27648,0.14,0.18
27649,0.25,0.34
27650,0.06,0.57
27651,0.72,0.9
27652,0.21,0.27
27653,0.02,0.13
27654,0.15,0.64
27655,0.05,0.27
27656,0.22,0.36
27657,0.55,0.37
27658,0.05,0.63
27659,0.04,0.02
27660,0.3,0.23
27661,0.18,0.07
27662,0.04,0.61
27663,0.35,0.9
27664,0.17,0.2
27665,0.69,0.71
27666,0.24,0.9
27667,0,0.04
27668,0.78,0.89
27669,0.46,0.82
27670,0.39,0.99
27671,0.13,0.81
27672,0.02,0.09
27673,0.13,0.11
27674,0.12,0.37
27675,0.51,0.91
27676,0.2,0.69
27677,0.1,0.24
27678,0.14,0.2
27679,0.02,0.21
27680,0.88,0.99
27681,0.01,0.08
27682,0.05,0.87
27683,0.11,0.63
27684,0.09,0.04
27685,0.05,0.05
27686,0.14,0.36
27687,0.09,0.06
27688,0.06,0.49
27689,0.89,0.95
27690,0.86,0.94
27691,0.94,0.96
27692,0.01,0.27
27693,0.15,0.55
27694,0.21,0.44
27695,0.11,0.35
27696,0.01,0.65
27697,0.67,0.87
27698,0.24,0.58
27699,0,0.32
27700,0.05,0.37
27701,0.39,0.59
27702,0.48,0.29
27703,0.07,0.08
27704,0.12,0.15
27705,0.57,0.65
27706,0.03,0.66
27707,0.05,0.3
27708,0.28,0.45
27709,0.2,0.21
27710,0.2,0.24
27711,0.76,0.71
27712,0,0.05
27713,0,0.01
27714,0.23,0.07
27715,0.86,0.64
27716,0.22,0.46
27717,0.11,0.27
27718,0.17,0.27
27719,0,0.07
27720,0.01,0.46
27721,0.52,0.2
27722,0.18,0.4
27723,0.2,0.96
27724,0.09,0.24
27725,0.01,0.35
27726,0.39,0.35
27727,0.47,0.8
27728,0.29,0.28
27729,0.07,0.06
27730,0.93,0.86
27731,0.97,1
27732,0.15,0.96
27733,0.02,0.17
27734,0.01,0.4
27735,0.51,0.57
27736,0.31,0.33
27737,0.1,0.82
27738,0.61,1
27739,0.71,0.78
27740,0.06,0.13
27741,0.19,0.65
27742,0.07,0.58
27743,0.75,0.9
27744,0.02,0.35
27745,0.59,0.99
27746,0.3,0.93
27747,0.05,0.31
27748,0.3,0.13
27749,0.17,0.78
27750,0.32,0.3
27751,0.07,0.03
27752,0.09,0.85
27753,0.04,0.11
27754,0.09,0.61
27755,0.82,0.91
27756,0.18,0.39
27757,0,0
27758,0.09,0.97
27759,0.15,0.17
27760,0.27,0.51
27761,0.06,0.85
27762,0.08,0.18
27763,0,0.64
27764,0.38,0.33
27765,0.02,0.21
27766,0.91,0.95
27767,0.55,0.81
27768,0.28,0.09
27769,0.08,0.29
27770,0.01,0.85
27771,0.07,0.8
27772,0.86,0.97
27773,0.03,0.36
27774,0.27,0.12
27775,0.05,0.24
27776,0.03,0.03
27777,0.62,0.56
27778,0.11,0.28
27779,0.2,0.2
27780,0.15,0.72
27781,0.08,0.41
27782,0.96,1
27783,0.08,0.77
27784,0.1,0.3
27785,0.01,0.35
27786,0.06,0.13
27787,0.02,0.2
27788,0.03,0.1
27789,0.76,0.69
27790,0.69,0.83
27791,0.04,0.13
27792,0.05,0.54
27793,0.04,0.22
27794,0.12,0.33
27795,0.23,0.89
27796,0.07,0.46
27797,0.31,0.64
27798,0.17,0.09
27799,0.26,0.23
27800,0.38,0.32
27801,0,0.38
27802,0.96,0.98
27803,0.04,0.02
27804,0.43,0.85
27805,0.12,0.14
27806,0.29,0.84
27807,0.08,0.69
27808,0.08,0.36
27809,0.48,0.9
27810,0,0.07
27811,0.19,0.18
27812,0.06,0.11
27813,0.27,0.58
27814,0.08,0.25
27815,0.06,0.38
27816,0.44,0.61
27817,0.16,0.35
27818,0.02,0.8
27819,0.23,0.25
27820,0.73,0.7
27821,0.05,0.34
27822,0.15,0.12
27823,0.34,0.21
27824,0.12,0.83
27825,0.48,0.26
27826,0.18,0.67
27827,0.11,0.05
27828,0.01,0.09
27829,0,0.17
27830,0.1,0.18
27831,0.01,0.54
27832,0.06,0.47
27833,0.3,0.22
27834,0.66,0.91
27835,0.07,0.81
27836,0.1,0.95
27837,0.65,0.82
27838,0.01,0.73
27839,0,0.12
27840,0.55,0.65
27841,0.09,0.21
27842,0.47,0.96
27843,0.09,0.5
27844,0.08,0.98
27845,0.08,0.83
27846,0.08,0.17
27847,0.05,0.46
27848,0.69,0.94
27849,0.11,0.94
27850,0.16,0.01
27851,0.68,0.33
27852,0.18,0.69
27853,0.08,0.34
27854,0.02,0.59
27855,0.06,0.64
27856,0.21,0.71
27857,0.4,0.71
27858,0.97,0.92
27859,0.88,0.88
27860,0.06,0.58
27861,0.05,0.15
27862,0.05,0.41
27863,0.07,0.32
27864,0,0.26
27865,0.17,0.65
27866,0.84,0.76
27867,0.71,0.49
27868,0.58,0.8
27869,0.02,0.39
27870,0.63,0.25
27871,0.13,0.82
27872,0.11,0.16
27873,0.12,0.02
27874,0.31,0.68
27875,0.25,0.46
27876,0.28,0.1
27877,0.28,0.84
27878,0.15,0.76
27879,0.29,0.82
27880,0.03,0.32
27881,0,0.64
27882,0,0.19
27883,0.01,0.06
27884,0.1,0.08
27885,0.05,0.32
27886,0.22,0.32
27887,0.43,0.55
27888,0.14,0.31
27889,0.16,0.15
27890,0.06,0.5
27891,0.14,0.32
27892,0.21,0.13
27893,0.05,0.48
27894,0.16,0.54
27895,0.18,0.75
27896,0.06,0.58
27897,0,0.22
27898,0.06,0.07
27899,0.02,0.61
27900,0.47,0.95
27901,0.1,0.02
27902,0.01,0.43
27903,0.13,0.16
27904,0.08,0.38
27905,0.09,0.18
27906,0,0.74
27907,0.64,0.97
27908,0.41,0.55
27909,0.47,0.25
27910,0.07,0.43
27911,0.55,0.69
27912,0,0.44
27913,0.03,0.19
27914,0.37,0.57
27915,0,0.28
27916,0.11,0.44
27917,0.22,0.38
27918,0.08,0.89
27919,0.02,0.22
27920,0.15,0.8
27921,0.12,0.75
27922,0.58,0.73
27923,0.12,0.9
27924,0.32,0.09
27925,0.02,0.02
27926,0.57,0.35
27927,0,0.05
27928,0.28,0.83
27929,0.01,0.94
27930,0.11,0.15
27931,0.68,0.77
27932,0.02,0.1
27933,0,0.15
27934,0.39,0.87
27935,0.15,0.79
27936,0.3,0.77
27937,0.9,0.91
27938,0,0.02
27939,0.03,0.05
27940,0.04,0.06
27941,0,0.04
27942,0,0.15
27943,0,0.72
27944,0.18,0.17
27945,0.45,0.09
27946,0.06,0.27
27947,0.76,0.74
27948,0,0.21
27949,0.01,0.33
27950,0.02,0.98
27951,0.77,0.79
27952,0.02,0.67
27953,0.09,0.62
27954,0.03,0.79
27955,0,0.83
27956,0.75,0.94
27957,0.03,0.25
27958,0.79,0.89
27959,0.29,0.42
27960,0.24,0.5
27961,0.05,0.07
27962,0.81,0.78
27963,0.08,0.13
27964,0.01,0.04
27965,0.03,0.04
27966,0.63,0.85
27967,0.01,0.23
27968,0.29,0.52
27969,0.57,0.98
27970,0.09,0.29
27971,0.03,0.64
27972,0.07,0.6
27973,0.19,0.74
27974,0.46,0.2
27975,0.05,0.23
27976,0.28,0.09
27977,0.05,0.13
27978,0.11,0.41
27979,0.37,0.65
27980,0.01,0.03
27981,0.06,0.38
27982,0.02,0.74
27983,0.34,0.89
27984,0.08,0.66
27985,0.01,0.91
27986,0.59,0.83
27987,0.13,0.75
27988,0,0.75
27989,0.07,0.19
27990,0.18,0.71
27991,0.19,0.46
27992,0.03,0.02
27993,0.01,0.14
27994,0.17,0.8
27995,0.08,0.83
27996,0.01,0.08
27997,0.18,0.25
